"Panneaux de danger";"Les panneaux de danger annoncent un danger réel (risque de vent latéral, traversée de piétons, etc.). Ils sont implantés en amont pour permettre aux usagers d'adapter leur vitesse. Ce sont des signaux avancés."
"Panneaux triangulaires en agglomération";"En agglomération, les panneaux de danger sont implantés à environ 50 mètres du danger. Ils peuvent être plus proches en raison du terrain. Ne pas attendre de voir le danger pour ralentir."
"Panneaux triangulaires hors agglomération";"Hors agglomération, les panneaux de danger sont implantés à environ 150 mètres du danger. Ne pas attendre de voir le danger pour ralentir."
"Panonceaux de distance et d'étendue";"Ne pas confondre ces deux panonceaux : le premier indique la distance jusqu'au danger, le second l'étendue du danger. Le second se reconnaît aux deux flèches situées de chaque côté."
"Panneaux triangulaires de danger";"Le seul panneau qui n'est pas un panneau avancé : il informe que la rue ou route est désormais à double sens de circulation. Il est implanté là où commence ce danger."
"Panneaux de danger temporaires";"Les panneaux de danger temporaires sont à fond jaune et sont implantés et signifient de la même manière que ceux à fond blanc."
"Panneaux lumineux de danger";"Les panneaux lumineux annoncent des dangers réels, pas potentiels. Ils sont généralement implantés à plusieurs centaines de mètres, voire plusieurs kilomètres en amont du danger."
"Ordre pour régler les équipements de conduite";"Siège, dossier, rétroviseurs, ceinture."
"Conversion de km/h à m/s";"Prendre la dizaine de la vitesse en km/h, la multiplier par 3 et arrondir au multiple de 5 le plus proche. Exemple : 90 km/h -> 9 x 3 = 27 -> 25 m/s."
"Calcul de la distance de sécurité";"Convertir la vitesse de km/h en m/s, puis multiplier par 2 pour obtenir la distance minimale en mètres. Exemple : 25 m/s x 2 = 50 m."
"Utilisation des feux de brouillard";"Feux de brouillard avant : brouillard, pluie forte, neige, routes sinueuses hors agglomération. Feux de brouillard arrière : brouillard ou neige dense avec faible visibilité."
"Nombre initial de points sur un permis français";"6 points."
"Points ajoutés après un an sans infractions (formation AAC)";"3 points."
"Points ajoutés après un an sans infractions (formation traditionnelle)";"2 points."
"Signification de AAC";"Apprentissage Anticipé de la Conduite."
"Rôle principal de l'E.S.P.";"Réduire le risque de dérapage."
"Différence entre E.S.P. et ABS";"L'E.S.P. gère la stabilité globale, l'ABS évite le blocage des roues."
"Éléments de base à vérifier avant de prendre un véhicule";"Pneus (pression et usure), feux (phares, clignotants, feux de freinage, feux arrière), niveaux (huile moteur, liquide de refroidissement, liquide lave-glace)."
"Équipements de sécurité obligatoires à vérifier";"Éthylotest (si obligatoire), gilet haute visibilité, triangle de présignalisation."
"Documents à avoir dans le véhicule";"Attestation d'assurance à jour, carte grise (certificat d'immatriculation), vignette du contrôle technique (si le véhicule a plus de 4 ans)."
"Vérification de la vignette de contrôle technique";"Qu'elle soit collée sur le pare-brise et que la date soit valide."
"Importance de vérifier l'état du véhicule et les documents";"Pour éviter les problèmes légaux, garantir la sécurité de conduite et respecter les obligations réglementaires."
"Durée pour une vérification de base";"Environ 2 minutes."
"Détails pratiques à vérifier avant d'utiliser une voiture empruntée";"Vérifier le niveau de carburant, noter les dommages ou anomalies visibles (prendre des photos si nécessaire), poser des questions au propriétaire en cas de doute."
"Alerter les secours depuis un téléphone portable";"Pour alerter les secours depuis un téléphone portable, composez le 15 (SAMU), le 17 (Police/Gendarmerie) ou le 18 (Pompiers)."
"Numéro d'urgence européen";"Le 112 est le numéro d'urgence à privilégier dans toute l'Europe. Il est gratuit et accessible même avec un téléphone verrouillé, un forfait épuisé ou en cas de panne de réseau."
