#separator:tab
#html:true
#notetype:Basic
#deck:Errores codigo de la ruta

# --- Règle : Calcul de la distance d'arrêt ---
Comment calculer approximativement la distance d'arrêt sur sol sec ?	En prenant le chiffre des dizaines de la vitesse (en km/h) et en le multipliant par lui-même.
Quelle est la distance d'arrêt approximative à 30 km/h sur sol sec ?	Environ 9 mètres (3x3).
Quelle est la distance d'arrêt approximative à 50 km/h sur sol sec ?	Environ 25 mètres (5x5).
Pour calculer (approximativement) la distance d'arrêt sur sol sec, on prend le chiffre des dizaines de la vitesse et on le multiplie par [...].	Pour calculer (approximativement) la distance d'arrêt sur sol sec, on prend le chiffre des dizaines de la vitesse et on le multiplie par lui-même.
À 90 km/h, la distance d'arrêt approximative sur sol sec est d'environ [...] mètres.	À 90 km/h, la distance d'arrêt approximative sur sol sec est d'environ 81 mètres.

# --- Règle : Dépassement d'un cycliste et ligne continue ---
Ai-je le droit de franchir (traverser avec les 4 roues) une ligne continue pour dépasser un cycliste ?	Non, le franchissement est strictement interdit.
Ai-je le droit de chevaucher une ligne continue pour dépasser un cycliste ?	Oui, c'est autorisé à condition que la visibilité soit bonne et qu'aucun usager n'arrive en face.
Quelle est la différence légale entre "chevaucher" et "franchir" une ligne continue ?	Chevaucher, c'est rouler sur la ligne (autorisé pour dépasser un cycliste). Franchir, c'est passer entièrement de l'autre côté (interdit).
Pour dépasser un cycliste, il est autorisé de [...] une ligne continue, mais il est interdit de la [...].	Pour dépasser un cycliste, il est autorisé de chevaucher une ligne continue, mais il est interdit de la franchir.
Quelle distance latérale de sécurité minimale dois-je laisser en dépassant un cycliste hors agglomération ?	1,50 mètre.
Pour dépasser un cycliste hors agglomération, je dois laisser un intervalle latéral d'au moins [...].	Pour dépasser un cycliste hors agglomération, je dois laisser un intervalle latéral d'au moins 1,50 mètre.

# --- Règle : Sortie d'autoroute manquée ---
Que dois-je faire si j'arrive au niveau de la voie de sortie (panneau de position) et que je ne me suis pas encore inséré ?	Il est trop tard, je ne dois pas freiner brusquement ni faire d'écart. Je dois continuer jusqu'à la prochaine sortie.
Est-il prudent de suivre le camion pour prendre la sortie PERPIGNAN alors que la ligne de dissuasion est déjà présente ?	Non, il est trop tard et dangereux. Il faut prendre la sortie suivante.
Si je rate ma sortie sur l'autoroute, je dois continuer jusqu'à la [...].	Si je rate ma sortie sur l'autoroute, je dois continuer jusqu'à la prochaine sortie.

# --- Règle : Feux de jour (diurnes) ---
Sur une voiture récente, quels feux sont allumés lorsque le commutateur est en position "0" ou "AUTO" en plein jour ?	Les feux diurnes (ou feux de jour).
Quel est le rôle principal des feux diurnes ?	Rendre le véhicule plus visible pour les autres usagers pendant la journée, même par beau temps.
Les feux de jour (diurnes) remplacent-ils les feux de croisement quand la luminosité baisse ?	Non, il faut manuellement (ou via le mode AUTO) allumer les feux de croisement.
En plein jour, si le commutateur est sur la position AUTO, ce sont les [...] qui fonctionnent.	En plein jour, si le commutateur est sur la position AUTO, ce sont les feux diurnes qui fonctionnent.

# --- Règle : Permis B et remorque ---
Avec un permis B, quel est le Poids Total Autorisé en Charge (PTAC) maximal d'une remorque que je peux toujours tracter, quelle que soit la voiture ?	750 kg.
Sous quelle condition puis-je tracter une remorque de plus de 750 kg de PTAC avec un permis B ?	À condition que la somme des PTAC de la voiture et de la remorque ne dépasse pas 3 500 kg.
Avec un permis B, est-ce que je peux conduire un véhicule de 2000 kg de PTAC attelé d'une remorque de 1000 kg de PTAC ?	Oui, car la somme des PTAC (2000 + 1000 = 3000 kg) est inférieure à 3500 kg.
Avec un permis B, si le PTAC de la remorque est supérieur à 750 kg, la somme des PTAC (voiture + remorque) ne doit pas dépasser [...].	Avec un permis B, si le PTAC de la remorque est supérieur à 750 kg, la somme des PTAC (voiture + remorque) ne doit pas dépasser 3 500 kg.
Le permis B autorise toujours à tracter une remorque dont le PTAC ne dépasse pas [...].	Le permis B autorise toujours à tracter une remorque dont le PTAC ne dépasse pas 750 kg.

# --- Règle : Récupération d'un point de permis ---
Au bout de combien de temps un seul point perdu sur le permis de conduire est-il récupéré automatiquement ?	6 mois.
Quelle est la condition indispensable pour récupérer automatiquement un seul point en 6 mois ?	Ne commettre aucune nouvelle infraction entraînant un retrait de point durant cette période de 6 mois.
Que se passe-t-il si je perds un nouveau point durant la période de 6 mois pour récupérer le premier point ?	Le délai de récupération passe à 2 ans à compter de la date du dernier retrait de point.
Si je perds 1 seul point sur mon permis, je le récupèrerai automatiquement au bout de [...] mois.	Si je perds 1 seul point sur mon permis, je le récupèrerai automatiquement au bout de 6 mois.
Pour récupérer un point en 6 mois, je ne dois commettre aucune nouvelle infraction entraînant [...] durant cette période.	Pour récupérer un point en 6 mois, je ne dois commettre aucune nouvelle infraction entraînant un retrait de point durant cette période.

#-- ─────────────────────────────────────────────────────────────────────────────
# --- images from 11 to 19 ---

# --- Règle : Immatriculation des remorques ---
À partir de quel Poids Total Autorisé en Charge (PTAC) une remorque doit-elle avoir son propre certificat d'immatriculation (carte grise) ?	À partir d'un PTAC supérieur à 500 kg.
Si une remorque a un PTAC de 450 kg, quelle plaque d'immatriculation doit-elle porter ?	Elle doit porter la même plaque d'immatriculation que le véhicule qui la tracte.
Une remorque doit avoir sa propre carte grise si son PTAC est supérieur à [...].	Une remorque doit avoir sa propre carte grise si son PTAC est supérieur à 500 kg.
Si le PTAC d'une remorque est inférieur ou égal à 500 kg, sa plaque d'immatriculation peut être [...] et doit être identique à celle du véhicule tracteur.	Si le PTAC d'une remorque est inférieur ou égal à 500 kg, sa plaque d'immatriculation peut être amovible et doit être identique à celle du véhicule tracteur.

# --- Règle : Définition du PTAC et PTRA ---
Que signifie l'acronyme PTAC ?	Poids Total Autorisé en Charge.
Quelle est la définition du PTAC (Poids Total Autorisé en Charge) ?	C'est le poids maximum du véhicule seul, incluant le conducteur, les passagers et le chargement.
Le poids d'une remorque est-il inclus dans le PTAC du véhicule ?	Non, le PTAC concerne le véhicule seul. Le poids maximum avec remorque est le PTRA (Poids Total Roulant Autorisé).
Le PTAC d'un véhicule est son poids maximum autorisé [...] remorque.	Le PTAC d'un véhicule est son poids maximum autorisé sans remorque.
